year,host,metric,value,host_canonical
2001,Старовижівська р/р УТМР,area_counted,13.0,Старовижівська р/о УТМР
2001,Шацька р/р УТМР,area_counted,6.5,Шацька р/о УТМР
2001,Облрада УТМР,area_counted,10.0,Облрада УТМР
2001,"Турійське РТМР ""Тур""",area_counted,30.1,Турійське РТМР Тур
2001,"Ковельське СЛГП ""Тур""",area_counted,29.0,"Ковельське СЛАП ""Тур"""
2001,К.-Каширське СЛГП,area_counted,21.0,Камінь-Каширськагроліс
2001,"ТзОВ""Феміда-Інтер"" ",area_counted,18.7,Феміда-Інтер
2001,"ТзОВ ""Вікінг""",area_counted,11.8,Вікінг
2001,Шацький ПНП,area_counted,32.2,Шацький НПП
2001,"ДМГ ""Борове""",staff_total,18.0,Борове ЛМГ
2001,"ДМГ ""Горохівське""",staff_total,21.0,Горохівське ЛМГ
2001,"ДМГ ""Старовижівське""",staff_total,20.0,Старовижівське ЛГ
2001,Звірівське ДЛМГ,staff_total,32.0,Звірівське ЛМГ
2001,В.-Волинське ДЛМГ,staff_total,6.0,Володимир-Волинське ЛМГ
2001,Любешівське ДЛМГ,staff_total,8.0,Любешівське ЛМГ
2001,Ратнівське ДЛМГ,staff_total,5.0,Ратнівське ЛМГ
2001,Городоцький ДЛГ,staff_total,4.0,Городоцьке ЛГ
2001,К.-Каширський ДЛГ,staff_total,4.0,Камінь-Каширське ЛГ
2001,Ківерцівський ДЛГ,staff_total,,Ківерцівське ЛГ
2001,Ковельський ДЛГ,staff_total,1.0,Ковельське ЛГ
2001,Колківський ДЛГ,staff_total,4.0,Колківське ЛГ
2001,Любомльський ДЛГ,staff_total,1.0,Любомльське ЛГ
2001,Маневицький ДЛГ,staff_total,5.0,Маневицьке ЛГ
2001,Цуманський ДЛГ,staff_total,9.0,Цуманське ЛГ
2001,Шацький ДЛГ,staff_total,3.0,Шацьке ЛГ
2001,В.-Волинська р/р УТМР,staff_total,3.0,Володимир-Волинська р/о УТМР
2001,Іваничівська р/р УТМР,staff_total,3.0,Іваничівська р/о УТМР
2001,К.-Каширська р/р УТМР,staff_total,4.0,Камінь-Каширська р/о УТМР
2001,Ківерцівська р/р УТМР,staff_total,5.0,Ківерцівська р/о УТМР
2001,Ковельська р/р УТМР,staff_total,8.0,Ковельська м/о УТМР
2001,Локачинська р/р УТМР,staff_total,2.0,Локачинська р/о УТМР
2001,Луцька р/р УТМР,staff_total,4.0,Луцька р/о УТМР
2001,Любешівська р/р УТМР,staff_total,3.0,Любешівська р/о УТМР
2001,Любомльська р/р УТМР,staff_total,5.0,Любомльська р/о УТМР
2001,Маневицька р/р УТМР,staff_total,2.0,Маневицька р/о УТМР
2001,Ратнівська р/р УТМР,staff_total,2.0,Ратнівська р/о УТМР
2001,Рожищенська р/р УТМР,staff_total,4.0,Рожищенська р/о УТМР
2001,Старовижівська р/р УТМР,staff_total,3.0,Старовижівська р/о УТМР
2001,Шацька р/р УТМР,staff_total,2.0,Шацька р/о УТМР
2001,Облрада УТМР,staff_total,10.0,Облрада УТМР
2001,"Турійське РТМР ""Тур""",staff_total,9.0,Турійське РТМР Тур
2001,"Ковельське СЛГП ""Тур""",staff_total,5.0,"Ковельське СЛАП ""Тур"""
2001,К.-Каширське СЛГП,staff_total,4.0,Камінь-Каширськагроліс
2001,"ТзОВ""Феміда-Інтер"" ",staff_total,8.0,Феміда-Інтер
2001,"ТзОВ ""Вікінг""",staff_total,4.0,Вікінг
2001,Шацький ПНП,staff_total,5.0,Шацький НПП
2001,"ДМГ ""Борове""",staff_biologists,,Борове ЛМГ
2001,"ДМГ ""Горохівське""",staff_biologists,1.0,Горохівське ЛМГ
